,Tweets,len,ID,Date,Source,Likes,RT
71,"RT @Rahul__Prasad: #Salute And #dilsethankyou Each And Every Single #CoronaWarriorsIndia Of Our #country Who Are #working For Us, In #Betwe…",140,1256896130589224961,2020-05-03 10:39:24,Twitter Web App,0,8
72,"(Part 6)
#PMOfIndia #MinistryOfHomeAffairs #mohfw #MinistryOfHealth #MyGovIndia #COVID2019india #COVID19India… https://t.co/Tcfjlhka10",134,1256896123500929024,2020-05-03 10:39:22,Twitter for Android,0,0
73,"Migrant workers gathered in large number to reach their native, who stucked during lockdown, at BMTC bus stand Meje… https://t.co/ijX9yVRbwn",140,1256896096674209793,2020-05-03 10:39:16,Twitter for Android,0,0
74,Corona &amp; Financial Virus... Read our views here - https://t.co/Fs28fbp3Gl. #coronavirus #CoronaOutBreak… https://t.co/MEGTNBQtYR,132,1256896067465097216,2020-05-03 10:39:09,Twitter for Android,2,0
75,#coronavirusindia Number of COVID-19 cases reaches 421 in Haryana including 242 discharges &amp; five deaths… https://t.co/Y5oAJua4iB,133,1256896024309665793,2020-05-03 10:38:58,Twitter Web App,0,0
76,Corona &amp; Financial Virus... Read our views here - https://t.co/ljv2BXIN85. #coronavirus #CoronaOutBreak… https://t.co/0TL47F10a2,132,1256896018429308928,2020-05-03 10:38:57,Twitter for Android,2,0
77,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256895967586136065,2020-05-03 10:38:45,Twitter for Android,0,84
78,RT @nishantchat: क्या अब कोरोना भी हमेशा के लिए एक बीमारी का रूप ले चुका है ? देश का सबसे बड़ा सर्वे ! और उस पर देश के सबसे बड़े डॉक्टर और…,139,1256895945402245120,2020-05-03 10:38:40,Twitter Web App,0,6
79,Corona &amp; Financial Virus... Read our views here - https://t.co/Z9F0DMJGKb. #coronavirus #CoronaOutBreak… https://t.co/OQLXNrF7Pz,132,1256895812627554304,2020-05-03 10:38:08,Twitter for Android,0,0
80,Corona &amp; Financial Virus... Read our views here - https://t.co/O3Vr2KDfnc. #coronavirus #CoronaOutBreak… https://t.co/0sGMpXqkTa,132,1256895787264618496,2020-05-03 10:38:02,Twitter for Android,0,0
81,@BillGates says the world would need as many as 14 billion doses of a #coronavirus #vaccine to stop the virus.… https://t.co/RwMkKan5SV,135,1256895755492585472,2020-05-03 10:37:54,Twitter for Android,0,0
82,RT @dm_vaishali: Inspection of security arrangements at Hajipur Junction  in the wake of expected arrival of migrant labours. #COVID19Pande…,140,1256895689008668672,2020-05-03 10:37:38,Twitter for Android,0,13
83,"#AndhraPradesh 

New cases - 58

Total cases - 1,583 

#CoronavirusIndia",72,1256895656628641792,2020-05-03 10:37:31,Twitter for Android,0,0
84,Corona &amp; Financial Virus... Read our views here - https://t.co/Df26ZP5w7I. #coronavirus #CoronaOutBreak… https://t.co/yNncGxlg28,132,1256895616157794306,2020-05-03 10:37:21,Twitter for Android,1,0
85,#coronavirusindia ki vajah se apni Rajneeti bhi khub chamkai or iski aad me sabhi chote se lekar bade neta apne khs… https://t.co/0m7hItQLXi,140,1256895399048155136,2020-05-03 10:36:29,Twitter for Android,0,0
86,Corona &amp; Financial Virus... Read our views here - https://t.co/FWsX4uGVlf. #coronavirus #CoronaOutBreak… https://t.co/UzxnYLMdc1,132,1256895352822616064,2020-05-03 10:36:18,Twitter for Android,1,0
87,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256895318626652160,2020-05-03 10:36:10,Twitter for Android,0,84
88,"RT @OfficialMSGfc: People from Dera Sacha Sauda, kalyan Nagar, Sirsa are helping the needy people there by arranging the noon and night mea…",140,1256895309315260421,2020-05-03 10:36:08,Twitter Web App,0,207
89,Corona &amp; Financial Virus... Read our views here - https://t.co/vsn9LgHhLb. #coronavirus #CoronaOutBreak… https://t.co/tk03qHBcwx,132,1256895279074357248,2020-05-03 10:36:01,Twitter Web App,0,0
90,Corona &amp; Financial Virus... Read our views here - https://t.co/4VnNGySMSS. #coronavirus #CoronaOutBreak… https://t.co/N3yrgxH9Gz,132,1256895271344181248,2020-05-03 10:35:59,Twitter for Android,2,0
91,"#coronavirusindia Sale of paana, gutka and tobacco products will remain prohibited during the lockdown period in Ra… https://t.co/gq9A6PUyRw",140,1256895253233037312,2020-05-03 10:35:55,Twitter Web App,0,0
92,Corona &amp; Financial Virus... Read our views here - https://t.co/0Ic5tk1SnW. #coronavirus #CoronaOutBreak… https://t.co/Omu6urpqDA,132,1256895236275609600,2020-05-03 10:35:50,Twitter for Android,3,0
93,Corona &amp; Financial Virus... Read our views here - https://t.co/B0QZy3xvL1. #coronavirus #CoronaOutBreak… https://t.co/3CTNz6Yl1B,132,1256895066137919489,2020-05-03 10:35:10,Twitter for iPhone,3,0
94,Corona &amp; Financial Virus... Read our views here - https://t.co/ANQPrKhDWj. #coronavirus #CoronaOutBreak… https://t.co/IU4Mz1HPMe,132,1256895049784111105,2020-05-03 10:35:06,Twitter for iPhone,1,0
95,Corona &amp; Financial Virus... Read our views here - https://t.co/674Voyoig3. #coronavirus #CoronaOutBreak… https://t.co/4LsAGuWiS0,132,1256895044524662786,2020-05-03 10:35:05,Twitter for Android,2,0
96,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256895032935821315,2020-05-03 10:35:02,Twitter for Android,0,84
97,Corona &amp; Financial Virus... Read our views here - https://t.co/eFm2v5V9bP. #coronavirus #CoronaOutBreak… https://t.co/BWLfNSpsFm,132,1256895029672660992,2020-05-03 10:35:01,Twitter for Android,0,0
98,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256894913666592769,2020-05-03 10:34:34,Twitter for Android,0,84
99,"#दिल्ली में कोरोना वायरस की वजह से CRPF मुख्यालय सील !

@crpfindia @PMOIndia @narendramodi @AmitShah… https://t.co/SrT4GnF8yP",125,1256894905516830720,2020-05-03 10:34:32,Twitter Web App,23,1
100,"RT @rameshlaus: 40,000 - #CoronavirusIndia Total cases as of now..",66,1256894866056855553,2020-05-03 10:34:22,Twitter for Android,0,52
